Daily PGM prices for New York
Date,Platinum,Palladium,Rhodium,Iridium,Ruthenium
16-Sep-1996,389.0000,123.0000,320.0000,70.0000,53.0000
17-Sep-1996,389.0000,123.0000,315.0000,70.0000,53.0000
18-Sep-1996,391.0000,122.0000,315.0000,70.0000,53.0000
19-Sep-1996,391.0000,122.0000,310.0000,70.0000,53.0000
20-Sep-1996,388.0000,121.0000,310.0000,70.0000,53.0000
23-Sep-1996,387.0000,119.0000,290.0000,70.0000,53.0000
24-Sep-1996,388.0000,118.0000,280.0000,70.0000,53.0000
25-Sep-1996,389.0000,121.0000,280.0000,70.0000,53.0000
26-Sep-1996,387.0000,120.0000,280.0000,70.0000,53.0000
27-Sep-1996,384.0000,120.0000,280.0000,70.0000,53.0000
30-Sep-1996,384.0000,121.0000,270.0000,70.0000,53.0000
01-Oct-1996,383.0000,120.0000,270.0000,70.0000,53.0000
02-Oct-1996,385.0000,122.0000,270.0000,70.0000,53.0000
03-Oct-1996,383.0000,121.0000,270.0000,70.0000,53.0000
04-Oct-1996,385.0000,122.0000,265.0000,70.0000,53.0000
07-Oct-1996,384.0000,122.0000,265.0000,70.0000,53.0000
08-Oct-1996,386.0000,120.0000,265.0000,70.0000,53.0000
09-Oct-1996,388.0000,119.0000,265.0000,70.0000,53.0000
10-Oct-1996,389.0000,119.0000,260.0000,70.0000,53.0000
11-Oct-1996,387.0000,119.0000,260.0000,70.0000,53.0000
14-Oct-1996,386.0000,118.0000,260.0000,70.0000,53.0000
15-Oct-1996,386.0000,118.0000,260.0000,70.0000,51.0000
16-Oct-1996,386.0000,118.0000,260.0000,70.0000,51.0000
17-Oct-1996,385.0000,117.0000,260.0000,70.0000,51.0000
18-Oct-1996,384.0000,117.0000,255.0000,70.0000,51.0000
21-Oct-1996,384.0000,118.0000,255.0000,70.0000,51.0000
22-Oct-1996,386.0000,119.0000,255.0000,70.0000,51.0000
23-Oct-1996,388.0000,121.0000,255.0000,70.0000,51.0000
24-Oct-1996,387.0000,119.0000,255.0000,70.0000,51.0000
25-Oct-1996,385.0000,119.0000,250.0000,70.0000,51.0000
28-Oct-1996,384.0000,118.0000,250.0000,70.0000,51.0000
29-Oct-1996,383.0000,117.0000,250.0000,70.0000,51.0000
30-Oct-1996,381.0000,117.0000,250.0000,75.0000,49.0000
31-Oct-1996,382.0000,118.0000,250.0000,75.0000,49.0000
01-Nov-1996,381.0000,117.0000,250.0000,75.0000,49.0000
04-Nov-1996,382.0000,118.0000,250.0000,78.0000,45.0000
05-Nov-1996,382.0000,119.0000,250.0000,78.0000,45.0000
06-Nov-1996,381.0000,118.0000,250.0000,78.0000,45.0000
07-Nov-1996,382.0000,118.0000,250.0000,78.0000,45.0000
08-Nov-1996,382.0000,117.0000,250.0000,78.0000,45.0000
11-Nov-1996,387.0000,119.0000,250.0000,78.0000,45.0000
12-Nov-1996,389.0000,120.0000,250.0000,78.0000,45.0000
13-Nov-1996,387.0000,123.0000,250.0000,78.0000,45.0000
14-Nov-1996,387.0000,122.0000,250.0000,78.0000,45.0000
15-Nov-1996,385.0000,120.0000,245.0000,78.0000,45.0000
18-Nov-1996,385.0000,120.0000,245.0000,78.0000,45.0000
19-Nov-1996,385.0000,120.0000,245.0000,80.0000,42.0000
20-Nov-1996,385.0000,121.0000,245.0000,80.0000,42.0000
21-Nov-1996,384.0000,120.0000,245.0000,80.0000,42.0000
22-Nov-1996,383.0000,119.0000,240.0000,85.0000,42.0000
25-Nov-1996,382.0000,119.0000,240.0000,85.0000,42.0000
26-Nov-1996,379.0000,117.0000,235.0000,85.0000,42.0000
27-Nov-1996,377.0000,116.0000,235.0000,85.0000,37.0000
28-Nov-1996,375.0000,116.0000,235.0000,85.0000,37.0000
29-Nov-1996,375.0000,116.0000,235.0000,85.0000,37.0000
02-Dec-1996,374.0000,116.0000,235.0000,85.0000,37.0000
03-Dec-1996,372.0000,118.0000,235.0000,85.0000,37.0000
04-Dec-1996,375.0000,119.0000,235.0000,85.0000,37.0000
05-Dec-1996,373.0000,118.0000,235.0000,85.0000,34.0000
06-Dec-1996,371.0000,118.0000,235.0000,85.0000,34.0000
